COMUNA_N,COMUNA,Neumococica_Polisacarida_65
13101,Santiago,3449
13102,Cerrillos,853
13103,Cerro Navia,1383
13104,Conchalí,1323
13105,El Bosque,1738
13106,Estación Central,1975
13107,Huechuraba,903
13108,Independencia,1265
13109,La Cisterna,1064
13110,La Florida,4802
13111,La Granja,1360
13112,La Pintana,1915
13113,La Reina,1104
13114,Las Condes,3605
13115,Lo Barnechea,1057
13116,Lo Espejo,991
13117,Lo Prado,1018
13118,Macul,1474
13119,Maipú,5656
13120,Ñuñoa,2611
13121,Pedro Aguirre Cerda,1216
13122,Peñalolén,2520
13123,Providencia,1559
13124,Pudahuel,2204
13125,Quilicura,1805
13126,Quinta Normal,1415
13127,Recoleta,2036
13128,Renca,1571
13129,San Joaquín,1097
13130,San Miguel,1331
13131,San Ramón,862
13132,Vitacura,1109
13201,Puente Alto,5629
13202,Pirque,317
13203,San José de Maipo,190
13301,Colina,1269
13302,Lampa,842
13303,Tiltil,219
13401,San Bernardo,2926
13402,Buin,938
13403,Calera de Tango,276
13404,Paine,831
13501,Melipilla,1471
13502,Alhué,85
13503,Curacaví,386
13504,María Pinto,154
13505,San Pedro,127
13601,Talagante,763
13602,El Monte,372
13603,Isla de Maipo,371
13604,Padre Hurtado,709
13605,Peñaflor,932
